outcome,category,predictor,variable_label,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,significance
self_reported_poor,Public Services,unopen_dialogue,No Open Dialogue with Government,unopen_dialogue,0.004733136323674238,0.00877708647328423,0.5392605323054522,0.5897168291819647,-0.012469637053156526,0.021935909700505005,14120,
self_reported_poor,Public Services,rising_prices,Prices Rising Too Fast,rising_prices,0.040395275876200606,0.006564017835415805,6.154047245004434,7.787102088173354e-10,0.027530037324907067,0.053260514427494146,14120,***
self_reported_poor,Public Services,infl_fast,Inflation is Too Fast,infl_fast,-0.0072652696361016735,0.006386741863569098,-1.137554921006566,0.25532848559051813,-0.01978305366725133,0.005252514395047983,14108,
self_reported_poor,Public Services,infl_norm,Inflation is at Typical Pace,infl_norm,0.011180080336822263,0.006235147571134601,1.7930738942860078,0.07298561171525152,-0.0010405843408939474,0.023400745014538475,14108,.
self_reported_poor,Public Services,infl_slow,Inflation is Slow,infl_slow,-0.012360113440470093,0.010628325587577134,-1.1629407980234583,0.24487603125476354,-0.03319124880808678,0.00847102192714659,14108,
self_reported_poor,Food Security,food_insec,Household Food Insecurity,food_insec,0.06616878067390183,0.008263777673135889,8.00708626140864,1.279532241570741e-15,0.04997207405830928,0.08236548728949439,14120,***
self_reported_poor,Food Security,food_secure,Household Food Security,food_secure,-0.06616878067390183,0.008263777673135889,-8.00708626140864,1.279532241570741e-15,-0.08236548728949439,-0.04997207405830928,14120,***
self_reported_poor,Food Security,worried,Worried About Food Running Out,worried,0.042905089190006976,0.008349028489580003,5.138931942028301,2.805268452162067e-7,0.026541294044531327,0.05926888433548262,14120,***
self_reported_poor,Food Security,unhealthy,Ate Unhealthy Food Due to Cost,unhealthy,0.058295714575484,0.009505069140202582,6.133118414564372,8.880789801317092e-10,0.03966612139012385,0.07692530776084415,14120,***
self_reported_poor,Food Security,low_diversity,Limited Diet Variety Due to Cost,low_diversity,0.07557655294547107,0.009135314855932776,8.273010195854296,1.439700631620878e-16,0.057671664840409115,0.09348144105053302,14120,***
self_reported_poor,Food Security,skip_meal,Skipped Meals Due to Lack of Money,skip_meal,0.08181068484723389,0.012990323965607236,6.297817134032471,3.1211825374741574e-10,0.056350117727136176,0.1072712519673316,14120,***
self_reported_poor,Food Security,eat_less,Ate Less Due to Lack of Money,eat_less,0.07740816969173356,0.011720300955973328,6.604623036772957,4.148839283153153e-11,0.05443680193005548,0.10037953745341163,14120,***
self_reported_poor,Food Security,ran_out,Ran Out of Food,ran_out,0.0618753944943975,0.013048110807994076,4.742096032514441,2.138857878053259e-6,0.036301567244441293,0.08744922174435371,14120,***
self_reported_poor,Food Security,went_hungry,Went Hungry Due to Lack of Money,went_hungry,0.07075804470764702,0.01619014458638727,4.37043933302119,1.2501086870705897e-5,0.03902594441383185,0.10249014500146218,14120,***
self_reported_poor,Food Security,whole_day,Whole Day Without Food,whole_day,0.06015461029065797,0.024698756516168152,2.43553193664952,0.014883975841319213,0.011745937056044424,0.1085632835252715,14120,*
self_reported_poor,Economic Perceptions,goodtime_job,Good Time to Find a Job,goodtime_job,0.004028398545115592,0.01211202746705237,0.3325948984242156,0.739450685089137,-0.019710739070066943,0.02776753616029813,8281,
self_reported_poor,Economic Perceptions,badtime_job,Bad Time to Find a Job,badtime_job,-0.00402839854511559,0.01211202746705237,-0.33259489842421536,0.7394506850891372,-0.027767536160298128,0.019710739070066947,8281,
self_reported_poor,Economic Perceptions,goodtime_bus,Good Time to Start a Business,goodtime_bus,-0.01199342667960831,0.013014074779271903,-0.9215735181352097,0.356784848841756,-0.03750054453909229,0.013513691179875666,8281,
self_reported_poor,Economic Perceptions,badtime_bus,Bad Time to Start a Business,badtime_bus,0.011993426679608333,0.013014074779271903,0.9215735181352115,0.3567848488417552,-0.013513691179875643,0.03750054453909231,8281,
self_reported_poor,Economic Perceptions,optim_econ,Optimistic About Economy,optim_econ,0.028850777368167574,0.013940108028244087,2.0696236578448994,0.03854173704179458,0.0015286676922115008,0.05617288704412365,6358,*
self_reported_poor,Economic Perceptions,pessim_econ,Pessimistic About Economy,pessim_econ,-0.028850777368167574,0.013940108028244087,-2.0696236578448994,0.03854173704179458,-0.05617288704412365,-0.0015286676922115008,6358,*
self_reported_poor,Digital Services,hap_dig_ser,Happy with Digital Services,hap_dig_ser,0.02897723989876703,0.012262134592550598,2.3631480864980126,0.018135847488099554,0.004943897723785135,0.053010582073748924,14120,*
self_reported_poor,Education,worried_educ,Worried About Education Access/Quality,worried_educ,0.08326781234789647,0.013426529803412727,6.201737423375892,6.059830924664007e-10,0.056952297495853885,0.10958332719993906,6358,***
self_reported_poor,Education,satloceduc,Satisfied with Local Education,satloceduc,0.013568417018014596,0.01928880459623496,0.7034348318642336,0.48181940698361436,-0.024236945295436574,0.051373779331465766,6358,
self_reported_poor,Education,dissatloceduc,Dissatisfied with Local Education,dissatloceduc,-0.013568417018014596,0.01928880459623496,-0.7034348318642336,0.48181940698361436,-0.051373779331465766,0.024236945295436574,6358,
self_reported_poor,Economic Perceptions,worried_job,Worried About Jobs,worried_job,0.05932793321889274,0.007921780564764185,7.489216942309839,7.399860142976258e-14,0.04380152861852557,0.0748543378192599,14120,***
self_reported_poor,Economic Perceptions,no_worried_job,Not Worried About Jobs,no_worried_job,-0.05932793321889274,0.007921780564764185,-7.489216942309839,7.399860142976258e-14,-0.0748543378192599,-0.04380152861852557,14120,***
self_reported_poor,Public Services,right_track,Country on Right Track,right_track,0.005422117432701894,0.007897599160380313,0.6865526247397936,0.492377594664861,-0.010056892485977286,0.020901127351381076,14120,
self_reported_poor,Public Services,not_right_track,Country on Wrong Track,not_right_track,-0.005422117432701895,0.007897599160380313,-0.6865526247397937,0.49237759466486053,-0.020901127351381076,0.010056892485977284,14120,
self_reported_poor,Public Services,election_fair,Elections are Fair,election_fair,0.03414634146341462,0.0277094049317712,1.2323015072858143,0.21807178955407044,-0.020163094235893464,0.08845577716272271,2738,
self_reported_poor,Public Services,election_unfair,Elections are Unfair,election_unfair,-0.03414634146341462,0.0277094049317712,-1.2323015072858143,0.21807178955407044,-0.08845577716272271,0.020163094235893464,2738,
self_reported_poor,Public Services,notenou_corrupt,Not Enough Done on Corruption,notenou_corrupt,-0.0017548063876753307,0.008484842773028701,-0.2068166063434249,0.8361564999548439,-0.018384792637296542,0.014875179861945882,14119,
self_reported_poor,Public Services,enough_corrupt,Enough Done to Fight Corruption,enough_corrupt,0.001754806387675329,0.008484842773028701,0.2068166063434247,0.8361564999548439,-0.014875179861945883,0.018384792637296542,14119,
self_reported_poor,Income Sources,pension_dum,Pension Income,pension_dum,-0.01907157790960548,0.07264724021456986,-0.26252308901585164,0.7929225724883138,-0.16145755230639225,0.12331439648718129,14112,
self_reported_poor,Income Sources,sa_inc_dum,Social Assistance Income,sa_inc_dum,0.006832446874611107,0.00789775442306888,0.8651126014571849,0.38699381987419745,-0.008646867353345807,0.022311761102568023,14111,
self_reported_poor,Income Sources,wage_dum,Wage Employment Income,wage_dum,-0.010276770049971544,0.008721974620986466,-1.1782618611666207,0.23871496646912171,-0.0273715261811774,0.006817986081234314,14111,
self_reported_poor,Income Sources,ag_inc_dum,Agricultural Income,ag_inc_dum,-0.011639937560661805,0.009037170356327845,-1.2880068762354908,0.19776774081356618,-0.029352465981217383,0.0060725908598937735,14111,
self_reported_poor,Income Sources,self_emp_dum,Self-Employed Business Income,self_emp_dum,-0.004889199920148865,0.00960093827379957,-0.5092418866488521,0.6105917993469844,-0.023706693154588176,0.013928293314290444,14111,
self_reported_poor,Financial Hardship,unable_save,Cannot Save Money,unable_save,0.02500196782880957,0.008736461253613933,2.8617957663885054,0.004219572439715032,0.007878818419396614,0.04212511723822253,14109,**
self_reported_poor,Public Services,air_polser,Air Pollution is Serious Problem,air_polser,0.049249470044728016,0.0091109891347021,5.405502006049567,6.582996124337177e-8,0.03139225947717615,0.06710668061227988,14120,***
self_reported_poor,Public Services,dissatis_index,Dissatisfaction Index (0-26),dissatis_index,0.03513990708432268,0.0013572472849632921,25.890570917791937,5.726569047212723e-144,0.03247975128767985,0.037800062880965504,14120,***
self_reported_poor,Economic Perceptions,any_unemp,Unemployment in Household,any_unemp,0.023541593200718906,0.012416643577907449,1.8959707631944704,0.057987255371959534,-7.945810208502442e-4,0.04787776742228805,14120,.
